inx 0	conn. 1	conn. 6	conn. 8	conn. -1	conn. 1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 1	conn. 2	conn. 31	conn. 0	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 2	conn. 3	conn. -1	conn. 1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 3	conn. -1	conn. 4	conn. 2	conn. 5	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 4	conn. 5	conn. -1	conn. 31	conn. 3	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 5	conn. 11	conn. 4	conn. 3	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 6	conn. 0	conn. -1	conn. 7	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 7	conn. 6	conn. 13	conn. -1	conn. 12	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 8	conn. 0	conn. -1	conn. 12	conn. 9	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 9	conn. 11	conn. 8	conn. 10	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 10	conn. 12	conn. -1	conn. 9	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 11	conn. 5	conn. -1	conn. 9	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 12	conn. 8	conn. 7	conn. -1	conn. 10	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 13	conn. 30	conn. 14	conn. 26	conn. 7	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 14	conn. -1	conn. -1	conn. 15	conn. 13	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 15	conn. 16	conn. 17	conn. -1	conn. 14	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 16	conn. 18	conn. 17	conn. 15	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 17	conn. -1	conn. -1	conn. 15	conn. 16	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 18	conn. 19	conn. -1	conn. 16	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 19	conn. 20	conn. -1	conn. 18	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 20	conn. 22	conn. 21	conn. 19	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 21	conn. 24	conn. -1	conn. 20	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 22	conn. 23	conn. -1	conn. 20	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 23	conn. 24	conn. -1	conn. 22	conn. 25	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 24	conn. -1	conn. 21	conn. 23	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 25	conn. -1	conn. 23	conn. -1	conn. 26	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 26	conn. 13	conn. 25	conn. 27	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 27	conn. 26	conn. -1	conn. -1	conn. 28	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 28	conn. -1	conn. 27	conn. 29	conn. 31	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 29	conn. 28	conn. 30	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 30	conn. -1	conn. -1	conn. 13	conn. 29	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
inx 31	conn. 4	conn. 28	conn. 1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	conn. -1	
